"State_Name","District_Name","Season","Suggested_Crop","Max_Production","Crop_Year"
"Andaman and Nicobar Islands","NICOBARS","Kharif","Arecanut","2061","2001"
"Andaman and Nicobar Islands","NICOBARS","Whole Year","Coconut ","71300000","2010"
"Andaman and Nicobar Islands","NICOBARS","Autumn","Sugarcane","41.75","2010"
"Andaman and Nicobar Islands","NICOBARS","Rabi","Arecanut","1610","2010"
"Andaman and Nicobar Islands","NORTH AND MIDDLE ANDAMAN","Kharif","Rice","31863","2000"
"Andaman and Nicobar Islands","NORTH AND MIDDLE ANDAMAN","Whole Year","Coconut ","25250000","2001"
"Andaman and Nicobar Islands","NORTH AND MIDDLE ANDAMAN","Autumn","Rice","20118","2010"
"Andaman and Nicobar Islands","NORTH AND MIDDLE ANDAMAN","Rabi","Arecanut","2290","2010"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Kharif","Rice","31600.82","2002"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Whole Year","Coconut ","34750000","2004"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Autumn","Rice","3788","2010"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Rabi","Arecanut","1900","2010"
"Andhra Pradesh","ANANTAPUR","Kharif","Groundnut","1102000","2007"
"Andhra Pradesh","ANANTAPUR","Rabi","Rice","108906","2001"
"Andhra Pradesh","ANANTAPUR","Whole Year","Coconut ","7165320","2011"
"Andhra Pradesh","CHITTOOR","Kharif","Sugarcane","2775100","1997"
"Andhra Pradesh","CHITTOOR","Rabi","Rice","193612","2005"
"Andhra Pradesh","CHITTOOR","Whole Year","Coconut ","35594856","2008"
"Andhra Pradesh","EAST GODAVARI","Kharif","Sugarcane","1197300","1997"
"Andhra Pradesh","EAST GODAVARI","Rabi","Rice","881396","2014"
"Andhra Pradesh","EAST GODAVARI","Whole Year","Coconut ","780162000","2014"
"Andhra Pradesh","GUNTUR","Kharif","Rice","1080921","2011"
"Andhra Pradesh","GUNTUR","Rabi","Maize","950884","2008"
"Andhra Pradesh","GUNTUR","Whole Year","Coconut ","5555550","2000"
"Andhra Pradesh","KADAPA","Kharif","Groundnut","275000","2007"
"Andhra Pradesh","KADAPA","Rabi","Gram","131594","2013"
"Andhra Pradesh","KADAPA","Whole Year","Coconut ","1143384","2008"
"Andhra Pradesh","KRISHNA","Kharif","Sugarcane","1634000","1997"
"Andhra Pradesh","KRISHNA","Rabi","Rice","491200","1998"
"Andhra Pradesh","KRISHNA","Whole Year","Coconut ","39653000","2014"
"Andhra Pradesh","KURNOOL","Kharif","Cotton(lint)","809620","2014"
"Andhra Pradesh","KURNOOL","Rabi","Gram","412000","2007"
"Andhra Pradesh","KURNOOL","Whole Year","Coconut ","646668","2008"
"Andhra Pradesh","PRAKASAM","Kharif","Cotton(lint)","276301","2013"
"Andhra Pradesh","PRAKASAM","Rabi","Rice","385888","2001"
"Andhra Pradesh","PRAKASAM","Whole Year","Coconut ","2373274","2004"
"Andhra Pradesh","SPSR NELLORE","Kharif","Sugarcane","972280","2012"
"Andhra Pradesh","SPSR NELLORE","Rabi","Rice","836157","2011"
"Andhra Pradesh","SPSR NELLORE","Whole Year","Coconut ","12558000","2012"
"Andhra Pradesh","SRIKAKULAM","Kharif","Rice","613000","2007"
